coin,block,etc,eth,etc_pct,eth_pct,date
ETC,6800001,110334001.58482797,107633998.58482797,51.38197789790687,15.788980656994081,2018-10-01
ETC,6840001,110514001.58482797,107753998.58482797,51.46580297348444,15.806583623563665,2018-10-01
ETC,6880001,110694001.58482797,107873998.58482797,51.549628049062,15.824186590133246,2018-11-01
ETC,6920001,110874001.58482797,107993998.58482797,51.63345312463957,15.841789556702828,2018-11-01
ETC,6960001,111054001.58482797,108113998.58482797,51.71727820021713,15.859392523272412,2018-11-01
ETC,7000001,111234001.58482797,108233996.58482797,51.80110327579469,15.87699519645922,2018-11-01
ETC,7040001,111414001.58482797,108313996.58482797,51.88492835137226,15.888730507505608,2018-12-01
ETC,7080001,111594001.58482797,108393996.58482797,51.96875342694982,15.900465818551998,2018-12-01
ETC,7120001,111774001.58482797,108473996.58482797,52.05257850252738,15.912201129598385,2018-12-01
ETC,7160001,111954001.58482797,108553996.58482797,52.136403578104954,15.923936440644775,2018-12-01
ETC,7200001,112134001.58482797,108633996.58482797,52.22022865368251,15.935671751691164,2018-12-01
ETC,7250001,112359001.58482797,108733996.58482797,52.32500999815447,15.950340890499149,2019-01-01
ETC,7290001,112539001.58482797,108813996.58482797,52.40883507373203,15.962076201545539,2019-01-01
ETC,7330001,112719001.58482797,108893996.58482797,52.4926601493096,15.973811512591926,2019-01-01
ETC,7370001,112899001.58482797,108973996.58482797,52.57648522488716,15.985546823638316,2019-01-01
ETC,7410001,113079001.58482797,109053996.58482797,52.660310300464715,15.997282134684705,2019-02-01
ETC,7450001,113259001.58482797,109133996.58482797,52.74413537604229,16.009017445731093,2019-02-01
ETC,7490001,113439001.58482797,109213996.58482797,52.82796045161985,16.020752756777483,2019-02-01
ETC,7530001,113619001.58482797,109293996.58482797,52.91178552719741,16.032488067823873,2019-02-01
ETC,7570001,113799001.58482797,109373996.58482797,52.99561060277498,16.04422337887026,2019-03-01
ETC,7610001,113979001.58482797,109453996.58482797,53.07943567835254,16.05595868991665,2019-03-01
ETC,7650001,114159001.58482797,109533996.58482797,53.16326075393011,16.067694000963037,2019-03-01
ETC,7690001,114339001.58482797,109613996.58482797,53.24708582950767,16.079429312009427,2019-03-01
ETC,7730001,114519001.58482797,109693996.58482797,53.330910905085226,16.091164623055814,2019-04-01
ETC,7770001,114699001.58482797,109773996.58482797,53.4147359806628,16.1028999341022,2019-04-01
ETC,7810001,114879001.58482797,109853996.58482797,53.498561056240355,16.11463524514859,2019-04-01
ETC,7850001,115059001.58482797,109933996.58482797,53.58238613181793,16.12637055619498,2019-04-01
ETC,7890001,115239001.58482797,110013996.58482797,53.666211207395484,16.13810586724137,2019-04-01
ETC,7930001,115419001.58482797,110093996.58482797,53.75003628297305,16.14984117828776,2019-05-01
ETC,7970001,115599001.58482797,110173996.58482797,53.833861358550614,16.16157648933415,2019-05-01
ETC,8010001,115779001.58482797,110241860.52025214,53.91768643412818,16.171531544222077,2019-05-01
ETC,8050001,115959001.58482797,110273326.72815232,54.00151150970574,16.176147365936565,2019-05-01
ETC,8090001,116139001.58482797,110304801.91741611,54.08533658528331,16.18076450513975,2019-06-01
ETC,8130001,116319001.58482797,110336286.09060724,54.169161660860865,16.185382962207704,2019-06-01
ETC,8170001,116499001.58482797,110367779.25028975,54.25298673643844,16.19000273751655,2019-06-01
ETC,8210001,116679001.58482797,110399281.39902882,54.336811812015995,16.194623831442584,2019-06-01
ETC,8250001,116859001.58482797,110430792.53939004,54.42063688759355,16.19924624436215,2019-07-01
ETC,8290001,117039001.58482797,110462312.67394005,54.504461963171124,16.203869976651756,2019-07-01
