coin,total_supply,distributed_supply,total_supply_pct,distributed_supply_pct,date
IOTA,2779530283,2640553768.85,100.0,95.0,2115-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2116-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2117-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2118-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2119-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2120-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2121-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2122-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2123-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2124-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2125-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2126-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2127-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2128-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2129-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2130-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2131-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2132-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2133-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2134-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2135-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2136-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2137-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2138-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2139-01-01
