coin,total_supply,distributed_supply,total_supply_pct,distributed_supply_pct,date
IOTA,2779530283,2640553768.85,100.0,95.0,2019-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2019-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-02-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-02-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-02-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-02-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-04-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-04-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-04-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-04-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2020-12-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-01-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-02-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-02-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-02-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-02-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-03-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-04-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-04-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-04-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-04-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-05-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-06-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-07-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-08-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-09-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-10-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-11-01
IOTA,2779530283,2640553768.85,100.0,95.0,2021-11-01
