coin,block,original_whitepaper,current_plan,original_whitepaper_pct,current_plan_pct,date
ETH,1,72000007.42,72000007.42,3.5534406780828323,10.561781030200004,2015-07-01
ETH,900001,78678007.42160933,78678007.42160933,3.883022267089227,11.541386120033383,2016-01-01
ETH,3010001,94334207.4253823,93584002.58482797,4.65570799242644,13.727967241237602,2017-01-01
ETH,5110001,109916207.4291374,102563998.58482797,5.424731700108028,15.04525531942919,2018-01-01
ETH,7210001,125498207.43289249,108653996.58482797,6.193755407789615,15.93860557945276,2019-01-01
ETH,9310001,141080207.42286605,111269122.98148583,6.962779114791037,16.322222100582785,2020-01-01
ETH,11420001,156736407.39519757,112956865.19889434,7.735464838576512,16.56979934917542,2021-01-01
ETH,13520001,172318407.36766022,114662026.18763638,8.504488544713713,16.819931781513613,2022-01-01
ETH,15630001,187974607.33999175,116401232.33166681,9.277174268499184,17.07505834493846,2023-01-01
ETH,17730001,203556607.3124544,118158388.39352712,10.046197974636385,17.332818006725688,2024-01-01
ETH,19840001,219212807.28478593,119950627.74159533,10.818883698421859,17.595724084465157,2025-01-01
ETH,21940001,234794807.25724858,121761364.3501216,11.58790740455906,17.86134355101689,2026-01-01
ETH,24040001,250376807.22971123,123599435.26383278,12.35693111069626,18.1309727247384,2027-01-01
ETH,26140001,265958807.2021739,125465253.11271507,13.125954816833463,18.404672134895122,2028-01-01
ETH,28250001,281615007.2274409,127368323.78337504,13.898640543231478,18.683836213188304,2029-01-01
ETH,30350001,297197007.2624884,129291035.57724752,14.667664252457453,18.965881475108972,2030-01-01
ETH,32460001,312853207.29770285,131252136.13442577,15.440349979346404,19.25355803800564,2031-01-01
ETH,34560001,328435207.3327504,133233476.72697274,16.209373688572377,19.544203639785326,2032-01-01
ETH,36670001,344091407.3679648,135254376.66235766,16.982059415461332,19.840652256477437,2033-01-01
ETH,38770001,359673407.40301234,137296133.80775285,17.751083124687305,20.14016044625743,2034-01-01
ETH,40870001,375255407.43805987,139368712.6710324,18.52010683391328,20.444189916616885,2035-01-01
ETH,42970001,390837407.4731074,141472578.5270737,19.289130543139255,20.752808919373408,2036-01-01
ETH,45080001,406493607.5083218,143618450.05897674,20.061816270028206,21.067589793029317,2037-01-01
ETH,47190001,422149807.54353625,145796870.4047836,20.83450199691716,21.387145297377135,2038-01-01
ETH,49290001,437731807.5785838,147997773.68989506,21.603525706143138,21.70999885529966,2039-01-01
ETH,51390001,453313807.6136313,150231901.11253977,22.372549415369107,22.03772610807469,2040-01-01
ETH,53500001,468970007.64884573,152510635.00667948,23.145235142258063,22.371996746070668,2041-01-01
ETH,55600001,484552007.68389326,154812887.15154532,23.91425885148404,22.709717308910875,2042-01-01
ETH,57700001,500134007.7189408,157149893.3641389,24.68328256071001,23.05253599418748,2043-01-01
ETH,59810001,515790207.7541552,159533560.12078112,25.455968287598964,23.402199379439146,2044-01-01
