coin,total_supply,total_supply_pct,date
XMR,25332.75,0.09365279461250808,2014-04-01
XMR,63175.4874388692,0.23355383642350325,2014-04-01
XMR,150870.84107161246,0.5577553124669083,2014-04-01
XMR,237726.64120708226,0.87885303817739,2014-05-01
XMR,323750.92533011356,1.1968767273805871,2014-05-01
XMR,408951.6539784905,1.5118558094361272,2014-05-01
XMR,493336.71147960715,1.8238194319609917,2014-05-01
XMR,576913.9066800681,2.1327964635267813,2014-06-01
XMR,659690.9736683011,2.438815496331148,2014-06-01
XMR,741675.5724902616,2.7419048488436837,2014-06-01
XMR,822875.2898582758,3.0420925684264506,2014-06-01
XMR,903297.6398531067,3.339406433929451,2014-06-01
XMR,982950.0646192885,3.6338739582612147,2014-07-01
XMR,1061839.9350538142,3.9255223909348094,2014-07-01
XMR,1139974.5514882246,4.214378720589464,2014-07-01
XMR,1217361.1443641654,4.5004696774880335,2014-07-01
XMR,1294006.8749024821,4.78382173599059,2014-08-01
XMR,1369918.8357659092,5.064461117004308,2014-08-01
XMR,1445104.0517154078,5.342413790409899,2014-08-01
XMR,1519569.4802602278,5.617705477464815,2014-08-01
XMR,1593322.0123017451,5.890361653183465,2014-09-01
XMR,1666368.47277113,6.160407548694612,2014-09-01
XMR,1738715.6212609159,6.4278681535762185,2014-09-01
XMR,1810370.1526505228,6.6927682181679575,2014-09-01
XMR,1881338.697725785,6.955132255861539,2014-09-01
XMR,1951627.8237925572,7.214984545369156,2014-10-01
XMR,2021244.0352844393,7.472349132970193,2014-10-01
XMR,2090193.7743646838,7.72724983473641,2014-10-01
XMR,2158483.4215223477,7.979710238735873,2014-10-01
XMR,2226119.2961627254,8.22975370721571,2014-11-01
XMR,2293107.657192139,8.47740337876405,2014-11-01
XMR,2359454.703597127,8.72268217045121,2014-11-01
XMR,2425166.5750180865,8.965612779950401,2014-11-01
XMR,2490249.352317426,9.206217687638144,2014-12-01
XMR,2554709.0581422746,9.44451915867454,2014-12-01
XMR,2618551.6574818115,9.680539245063672,2014-12-01
XMR,2681783.058219255,9.914299787694258,2014-12-01
XMR,2744409.111678563,10.14582241836075,2014-12-01
XMR,2806435.6131659118,10.37512856176512,2015-01-01
XMR,2867868.3025059784,10.602239437499467,2015-01-01
XMR,2928712.8645730955,10.827176062009624,2015-01-01
XMR,2988974.9298173203,11.049959250540004,2015-01-01
XMR,3048660.0747854663,11.270609619059787,2015-02-01
XMR,3107773.822637145,11.489147586170695,2015-02-01
XMR,3166321.6436558743,11.705593374996502,2015-02-01
XMR,3224308.9557552845,11.919967015054429,2015-02-01
XMR,3281741.124980484,12.132288344108655,2015-03-01
XMR,3338623.466004627,12.342577010006067,2015-03-01
XMR,3394961.2426207177,12.55085247249443,2015-03-01
XMR,3450759.6682287194,12.757134005023174,2015-03-01
XMR,3506023.9063179865,12.961440696526896,2015-03-01
XMR,3560759.0709450925,13.16379145319185,2015-04-01
XMR,3614970.227207068,13.364205000205477,2015-04-01
XMR,3668662.3917101244,13.562699883489199,2015-04-01
XMR,3721840.533033874,13.759294471414632,2015-04-01
XMR,3774509.572191118,13.954006956503362,2015-05-01
XMR,3826674.3830832294,14.146855357110452,2015-05-01
XMR,3878339.7929511713,14.337857519091814,2015-05-01
XMR,3929510.5828222064,14.52703111745567,2015-05-01
XMR,3980191.4879523185,14.714393657998103,2015-06-01
XMR,4030387.198264411,14.899962478923086,2015-06-01
XMR,4080102.358782302,15.083754752446882,2015-06-01
XMR,4129341.570060568,15.26578748638715,2015-06-01
XMR,4178109.3886102643,15.446077525736795,2015-06-01
XMR,4226410.32732059,15.624641554222826,2015-07-01
XMR,4274248.855876488,15.80149609585017,2015-07-01
XMR,4321629.401172274,15.976657516430837,2015-07-01
XMR,4368556.347721281,16.150142025098326,2015-07-01
XMR,4415034.038061613,16.32196567580766,2015-08-01
XMR,4461066.773157979,16.49214436882093,2015-08-01
XMR,4506658.812799703,16.660693852178706,2015-08-01
XMR,4551814.375994918,16.827629723157326,2015-08-01
XMR,4596537.641360983,16.992967429712234,2015-08-01
XMR,4640832.747511171,17.156722271907523,2015-09-01
XMR,4684703.79343764,17.318909403331766,2015-09-01
XMR,4728154.838890758,17.47954383250032,2015-09-01
XMR,4771189.904754772,17.638640424244137,2015-09-01
XMR,4813812.9734199075,17.796213901085412,2015-10-01
XMR,4856027.98915088,17.9522788445999,2015-10-01
XMR,4897838.858451895,18.106849696766297,2015-10-01
XMR,4939249.450428154,18.25994076130272,2015-10-01
XMR,4980263.597143887,18.411566204990265,2015-11-01
XMR,5020885.09397697,18.561740058984064,2015-11-01
XMR,5061117.699970138,18.710476220111623,2015-11-01
XMR,5100965.1381788505,18.85778845215888,2015-11-01
XMR,5140431.096015802,19.003690387143827,2015-11-01
XMR,5179519.225592159,19.148195526578025,2015-12-01
XMR,5218233.144055517,19.291317242715998,2015-12-01
XMR,5256576.433924626,19.433068779792688,2015-12-01
XMR,5294552.643420909,19.57346325524904,2015-12-01
XMR,5332165.286796811,19.71251366094589,2016-01-01
XMR,5369417.844660997,19.850232864366177,2016-01-01
XMR,5406313.764300447,19.986633609805697,2016-01-01
XMR,5442856.459999458,20.12172851955244,2016-01-01
XMR,5479049.313355596,20.255530095054628,2016-02-01
XMR,5514895.673592627,20.388050718077576,2016-02-01
XMR,5550398.857870443,20.519302651849486,2016-02-01
XMR,5585562.151592033,20.649298042196264,2016-02-01
XMR,5620388.808707501,20.77804891866547,2016-02-01
XMR,5654882.052015186,20.9055671956395,2016-03-01
XMR,5689045.073459889,21.031864673438136,2016-03-01
