coin,block,original_whitepaper,current_plan,original_whitepaper_pct,current_plan_pct,date
ETH,3620001,98860407.42647307,96634002.58482797,4.879091069419664,14.175375974881174,2017-04-01
ETH,3660001,99157207.42654459,96834002.58482797,4.89373914004217,14.204714252497148,2017-04-01
ETH,3700001,99454007.42661612,97034000.58482797,4.908387210664676,14.23405223673034,2017-05-01
ETH,3740001,99750807.42668764,97194000.58482797,4.923035281287183,14.257522858823119,2017-05-01
ETH,3780001,100047607.42675917,97354000.58482797,4.93768335190969,14.280993480915896,2017-05-01
ETH,3820001,100344407.4268307,97514000.58482797,4.952331422532195,14.304464103008673,2017-05-01
ETH,3860001,100641207.42690222,97674000.58482797,4.966979493154702,14.327934725101452,2017-05-01
ETH,3900001,100938007.42697375,97834000.58482797,4.9816275637772085,14.351405347194229,2017-06-01
ETH,3940001,101234807.42704527,97994000.58482797,4.996275634399715,14.374875969287007,2017-06-01
ETH,3980001,101531607.4271168,98154000.58482797,5.010923705022222,14.398346591379784,2017-06-01
ETH,4020001,101828407.42718832,98314000.58482797,5.025571775644728,14.421817213472563,2017-06-01
ETH,4060001,102125207.42725985,98474000.58482797,5.040219846267234,14.44528783556534,2017-07-01
ETH,4100001,102422007.42733137,98634000.58482797,5.05486791688974,14.468758457658119,2017-07-01
ETH,4140001,102718807.4274029,98794000.58482797,5.069515987512247,14.492229079750896,2017-07-01
ETH,4180001,103015607.42747442,98954000.58482797,5.084164058134753,14.515699701843673,2017-07-01
ETH,4220001,103312407.42754595,99114000.58482797,5.09881212875726,14.539170323936451,2017-07-01
ETH,4260001,103609207.42761748,99274000.58482797,5.113460199379767,14.562640946029228,2017-08-01
ETH,4300001,103906007.427689,99434000.58482797,5.128108270002272,14.586111568122007,2017-08-01
ETH,4340001,104202807.42776053,99594000.58482797,5.1427563406247785,14.609582190214784,2017-08-01
ETH,4380001,104499607.42783205,99754000.58482797,5.157404411247286,14.633052812307563,2017-08-01
ETH,4420001,104796407.42790358,99914000.58482797,5.172052481869792,14.656523434400338,2017-09-01
ETH,4460001,105093207.4279751,100074000.58482797,5.186700552492298,14.679994056493115,2017-09-01
ETH,4500001,105390007.42804663,100234000.58482797,5.201348623114805,14.703464678585892,2017-09-01
ETH,4540001,105686807.42811815,100394000.58482797,5.215996693737311,14.72693530067867,2017-09-01
ETH,4580001,105983607.42818968,100554000.58482797,5.230644764359817,14.750405922771447,2017-10-01
ETH,4620001,106280407.4282612,100714000.58482797,5.245292834982324,14.773876544864226,2017-10-01
ETH,4660001,106577207.42833273,100874000.58482797,5.2599409056048305,14.797347166957003,2017-10-01
ETH,4710001,106948207.42842214,101074000.58482797,5.278250993882963,14.826685444572977,2017-10-01
ETH,4750001,107245007.42849366,101234000.58482797,5.29289906450547,14.850156066665754,2017-10-01
ETH,4790001,107541807.42856519,101394000.58482797,5.307547135127976,14.873626688758531,2017-11-01
ETH,4830001,107838607.42863671,101554000.58482797,5.322195205750483,14.89709731085131,2017-11-01
ETH,4870001,108135407.42870824,101714000.58482797,5.336843276372989,14.920567932944087,2017-11-01
ETH,4910001,108432207.42877977,101874000.58482797,5.351491346995496,14.944038555036865,2017-11-01
ETH,4950001,108729007.42885129,102034000.58482797,5.366139417618002,14.96750917712964,2017-12-01
ETH,4990001,109025807.42892282,102194000.58482797,5.380787488240508,14.990979799222417,2017-12-01
ETH,5030001,109322607.42899434,102323998.58482797,5.3954355588630145,15.010049386290024,2017-12-01
ETH,5070001,109619407.42906587,102443998.58482797,5.410083629485522,15.027652352859608,2017-12-01
ETH,5110001,109916207.4291374,102563998.58482797,5.424731700108028,15.04525531942919,2018-01-01
ETH,5150001,110213007.42920892,102683998.58482797,5.439379770730534,15.062858285998773,2018-01-01
ETH,5190001,110509807.42928044,102803998.58482797,5.4540278413530405,15.080461252568355,2018-01-01
ETH,5230001,110806607.42935197,102923998.58482797,5.468675911975547,15.09806421913794,2018-01-01
ETH,5270001,111103407.4294235,103043998.58482797,5.483323982598053,15.115667185707524,2018-01-01
ETH,5310001,111400207.42949502,103163998.58482797,5.49797205322056,15.133270152277106,2018-02-01
ETH,5350001,111697007.42956655,103283998.58482797,5.5126201238430665,15.15087311884669,2018-02-01
ETH,5390001,111993807.42963807,103403998.58482797,5.527268194465573,15.168476085416271,2018-02-01
ETH,5430001,112290607.4297096,103523998.58482797,5.541916265088079,15.186079051985857,2018-02-01
ETH,5470001,112587407.42978112,103643998.58482797,5.556564335710585,15.203682018555439,2018-03-01
ETH,5510001,112884207.42985265,103763998.58482797,5.571212406333092,15.221284985125022,2018-03-01
ETH,5550001,113181007.42992418,103883998.58482797,5.585860476955598,15.238887951694604,2018-03-01
ETH,5590001,113477807.4299957,104003998.58482797,5.600508547578105,15.25649091826419,2018-03-01
ETH,5630001,113774607.43006723,104123998.58482797,5.615156618200611,15.274093884833773,2018-04-01
ETH,5670001,114071407.43013875,104243998.58482797,5.629804688823118,15.291696851403355,2018-04-01
ETH,5710001,114368207.43021028,104363998.58482797,5.644452759445624,15.309299817972938,2018-04-01
ETH,5750001,114665007.4302818,104483998.58482797,5.65910083006813,15.32690278454252,2018-04-01
ETH,5790001,114961807.43035333,104603998.58482797,5.6737489006906365,15.344505751112106,2018-04-01
ETH,5830001,115258607.43042485,104723998.58482797,5.688396971313144,15.36210871768169,2018-05-01
ETH,5870001,115555407.43049638,104843998.58482797,5.70304504193565,15.379711684251271,2018-05-01
ETH,5910001,115852207.4305679,104963998.58482797,5.717693112558156,15.397314650820853,2018-05-01
ETH,5960001,116223207.43065731,105113998.58482797,5.736003200836289,15.419318359032832,2018-05-01
ETH,6000001,116520007.43072884,105233998.58482797,5.750651271458795,15.436921325602416,2018-06-01
ETH,6040001,116816807.43080036,105353998.58482797,5.765299342081303,15.454524292172,2018-06-01
ETH,6080001,117113607.43087189,105473998.58482797,5.779947412703809,15.472127258741583,2018-06-01
ETH,6120001,117410407.43094341,105593998.58482797,5.794595483326315,15.489730225311165,2018-06-01
ETH,6160001,117707207.43101494,105713998.58482797,5.809243553948821,15.507333191880749,2018-07-01
ETH,6200001,118004007.43108647,105833998.58482797,5.823891624571328,15.52493615845033,2018-07-01
ETH,6240001,118300807.43115799,105953998.58482797,5.838539695193834,15.542539125019916,2018-07-01
ETH,6280001,118597607.43122952,106073998.58482797,5.853187765816341,15.5601420915895,2018-07-01
ETH,6320001,118894407.43130104,106193998.58482797,5.867835836438847,15.577745058159081,2018-07-01
ETH,6360001,119191207.43137257,106313998.58482797,5.882483907061353,15.595348024728665,2018-08-01
ETH,6400001,119488007.4314441,106433998.58482797,5.89713197768386,15.612950991298247,2018-08-01
ETH,6440001,119784807.43151562,106553998.58482797,5.911780048306366,15.630553957867832,2018-08-01
ETH,6480001,120081607.43158714,106673998.58482797,5.926428118928873,15.648156924437414,2018-08-01
ETH,6520001,120378407.43165867,106793998.58482797,5.94107618955138,15.665759891006998,2018-09-01
ETH,6560001,120675207.4317302,106913998.58482797,5.955724260173886,15.68336285757658,2018-09-01
ETH,6600001,120972007.43180172,107033998.58482797,5.970372330796392,15.700965824146163,2018-09-01
ETH,6640001,121268807.43187325,107153998.58482797,5.985020401418899,15.718568790715748,2018-09-01
ETH,6680001,121565607.43194477,107273998.58482797,5.999668472041405,15.73617175728533,2018-10-01
ETH,6720001,121862407.4320163,107393998.58482797,6.014316542663911,15.753774723854914,2018-10-01
ETH,6760001,122159207.43208782,107513998.58482797,6.028964613286417,15.771377690424496,2018-10-01
ETH,6800001,122456007.43215935,107633998.58482797,6.043612683908925,15.788980656994081,2018-10-01
