coin,total_supply,total_supply_pct,date
NEO,50000000.0,50.0,2014-02-01
NEO,50000000.0,50.0,2014-02-01
NEO,50000000.0,50.0,2014-03-01
NEO,50000000.0,50.0,2014-03-01
NEO,50000000.0,50.0,2014-03-01
NEO,50000000.0,50.0,2014-03-01
NEO,50000000.0,50.0,2014-03-01
NEO,50000000.0,50.0,2014-04-01
NEO,50000000.0,50.0,2014-04-01
NEO,50000000.0,50.0,2014-04-01
NEO,50000000.0,50.0,2014-04-01
NEO,50000000.0,50.0,2014-05-01
NEO,50000000.0,50.0,2014-05-01
NEO,50000000.0,50.0,2014-05-01
NEO,50000000.0,50.0,2014-05-01
NEO,50000000.0,50.0,2014-06-01
NEO,50000000.0,50.0,2014-06-01
NEO,50000000.0,50.0,2014-06-01
NEO,50000000.0,50.0,2014-06-01
NEO,50000000.0,50.0,2014-06-01
NEO,50000000.0,50.0,2014-07-01
NEO,50000000.0,50.0,2014-07-01
NEO,50000000.0,50.0,2014-07-01
NEO,50000000.0,50.0,2014-07-01
NEO,50000000.0,50.0,2014-08-01
NEO,50000000.0,50.0,2014-08-01
NEO,50000000.0,50.0,2014-08-01
NEO,50000000.0,50.0,2014-08-01
NEO,50000000.0,50.0,2014-08-01
NEO,50000000.0,50.0,2014-09-01
NEO,50000000.0,50.0,2014-09-01
NEO,50000000.0,50.0,2014-09-01
NEO,50000000.0,50.0,2014-09-01
NEO,50000000.0,50.0,2014-10-01
NEO,50000000.0,50.0,2014-10-01
NEO,50000000.0,50.0,2014-10-01
NEO,50000000.0,50.0,2014-10-01
NEO,50000000.0,50.0,2014-11-01
NEO,50000000.0,50.0,2014-11-01
NEO,50000000.0,50.0,2014-11-01
NEO,50000000.0,50.0,2014-11-01
NEO,50000000.0,50.0,2014-11-01
NEO,50000000.0,50.0,2014-12-01
NEO,50000000.0,50.0,2014-12-01
NEO,50000000.0,50.0,2014-12-01
NEO,50000000.0,50.0,2014-12-01
NEO,50000000.0,50.0,2015-01-01
NEO,50000000.0,50.0,2015-01-01
NEO,50000000.0,50.0,2015-01-01
NEO,50000000.0,50.0,2015-01-01
NEO,50000000.0,50.0,2015-02-01
NEO,50000000.0,50.0,2015-02-01
NEO,50000000.0,50.0,2015-02-01
NEO,50000000.0,50.0,2015-02-01
NEO,50000000.0,50.0,2015-03-01
NEO,50000000.0,50.0,2015-03-01
NEO,50000000.0,50.0,2015-03-01
NEO,50000000.0,50.0,2015-03-01
NEO,50000000.0,50.0,2015-03-01
NEO,50000000.0,50.0,2015-04-01
NEO,50000000.0,50.0,2015-04-01
NEO,50000000.0,50.0,2015-04-01
NEO,50000000.0,50.0,2015-04-01
NEO,50000000.0,50.0,2015-05-01
NEO,50000000.0,50.0,2015-05-01
NEO,50000000.0,50.0,2015-05-01
NEO,50000000.0,50.0,2015-05-01
NEO,50000000.0,50.0,2015-05-01
