coin,block,etc,eth,etc_pct,eth_pct,date
ETC,19490001,155665198.29361567,119651467.1774382,72.49248339865984,17.551839806050193,2024-11-01
ETC,19660001,156154798.29280505,119796680.43356745,72.72048760385333,17.57314134015939,2024-12-01
ETC,19840001,156673198.29194674,119950627.74159533,72.96190382111699,17.595724084465157,2025-01-01
ETC,20020001,157180077.1389883,120104772.8829318,73.19795469701658,17.61833584921357,2025-02-01
ETC,20180001,157548717.13742426,120241957.07414104,73.36962845107108,17.638459588644665,2025-03-01
ETC,20360001,157963437.13566473,120396476.5945197,73.56276142438237,17.661126271574446,2025-04-01
ETC,20530001,158355117.13400295,120542594.02045149,73.74516478806528,17.682560439607034,2025-05-01
ETC,20710001,158769837.13224342,120697499.88082244,73.93829776137657,17.705283795286554,2025-06-01
ETC,20880001,159161517.13058165,120843982.63926993,74.12070112505947,17.726771554452984,2025-07-01
ETC,21060001,159576237.12882212,120999275.80558568,74.31383409837078,17.749551724579156,2025-08-01
ETC,21240001,159990957.1270626,121154768.53473407,74.50696707168208,17.77236116885426,2025-09-01
ETC,21410001,160382637.1254008,121301806.25060663,74.68937043536498,17.7939303354957,2025-10-01
ETC,21590001,160797357.12364128,121457687.75302914,74.88250340867629,17.81679680946203,2025-11-01
ETC,21760001,161189037.1219795,121605093.10238862,75.06490677235918,17.83841990476997,2025-12-01
ETC,21940001,161603757.12021998,121761364.3501216,75.25803974567047,17.86134355101689,2026-01-01
ETC,22120001,162018477.11846045,121917836.41759172,75.45117271898178,17.88429665578981,2026-02-01
ETC,22280001,162387117.11689642,122057091.4978164,75.62284647303628,17.90472417680514,2026-03-01
ETC,22460001,162801837.1151369,122213943.59583639,75.81597944634758,17.92773302878693,2026-04-01
ETC,22630001,163193517.1134751,122362266.76405704,75.99838281003048,17.94949076021762,2026-05-01
ETC,22810001,163608237.11171558,122519511.03413492,76.19151578334179,17.97255714046295,2026-06-01
ETC,22980001,163999917.1100538,122668205.04981536,76.37391914702468,17.994369272022283,2026-07-01
ETC,23160001,164414637.10829428,122825842.4724857,76.56705212033597,18.017493324367127,2026-08-01
ETC,23340001,164829357.10653475,122983682.47052658,76.76018509364728,18.040647092774265,2026-09-01
ETC,23510001,165221037.10487297,123132939.82109404,76.94258845733019,18.062541860710127,2026-10-01
ETC,23690001,165635757.10311344,123291174.46120666,77.13572143064148,18.085753519710565,2026-11-01
ETC,23860001,166027437.10145167,123440804.99493875,77.31812479432438,18.107703030402856,2026-12-01
ETC,24040001,166442157.09969214,123599435.26383278,77.51125776763568,18.1309727247384,2027-01-01
ETC,24220001,166856877.0979326,123758269.38397524,77.70439074094699,18.154272322296542,2027-02-01
ETC,24380001,167225517.09636858,123899626.61469428,77.87606449500149,18.175008210685846,2027-03-01
ETC,24560001,167640237.09460905,124058846.50220673,78.06919746831278,18.19836439699496,2027-04-01
ETC,24730001,168031917.09294727,124209408.7099025,78.25160083199569,18.220450576234224,2027-05-01
ETC,24910001,168446637.09118775,124369026.68957774,78.44473380530698,18.24386515923529,2027-06-01
ETC,25080001,168801452.16855922,124519965.34292923,78.60996936462212,18.26600655981032,2027-07-01
ETC,25260001,169133228.16822448,124679982.41010407,78.76447574377079,18.289479685510667,2027-08-01
ETC,25440001,169465004.16788974,124840205.1106627,78.91898212291947,18.312982975857516,2027-09-01
ETC,25610001,169778348.1675736,124991715.60282525,79.06490481433767,18.335208260261503,2027-10-01
ETC,25790001,170110124.16723886,125152338.90284675,79.21941119348634,18.358770315099626,2027-11-01
ETC,25970001,170441900.16690412,125313168.61530425,79.37391757263502,18.3823626488645,2027-12-01
ETC,26140001,170755244.16658798,125465253.11271507,79.51984026405322,18.404672134895122,2028-01-01
ETC,26320001,171087020.16625324,125626484.94232784,79.6743466432019,18.428323455783676,2028-02-01
ETC,26490001,171400364.1659371,125778949.69152802,79.8202693346201,18.4506887214771,2028-03-01
ETC,26670001,171732140.16560236,125940584.64369465,79.97477571376878,18.474399176972643,2028-04-01
ETC,26840001,172045484.1652862,126093430.59541096,80.12069840518697,18.49682036179229,2028-05-01
ETC,27020001,172377260.16495147,126255469.6780461,80.27520478433566,18.52059009974723,2028-06-01
ETC,27190001,172690604.16463533,126408697.78538671,80.42112747575385,18.543067343505875,2028-07-01
ETC,27370001,173022380.1643006,126571142.00892389,80.57563385490253,18.566896512142097,2028-08-01
ETC,27550001,173354156.16396585,126733794.98491433,80.7301402340512,18.590756302965456,2028-09-01
ETC,27720001,173667500.1636497,126887603.60477988,80.8760629254694,18.61331870291218,2028-10-01
ETC,27900001,173999276.16331497,127050663.2565699,81.03056930461808,18.63723814957308,2028-11-01
ETC,28070001,174312620.16299883,127204856.43898687,81.17649199603628,18.659856961534274,2028-12-01
ETC,28250001,174644396.1626641,127368323.78337504,81.33099837518496,18.683836213188304,2029-01-01
ETC,28430001,174976172.16232935,127532001.19499876,81.48550475433363,18.707846279896707,2029-02-01
ETC,28590001,175271084.1620318,127677668.79851928,81.62284375802135,18.7292144628554,2029-03-01
ETC,28770001,175602860.16169706,127841743.7406267,81.77735013717002,18.753282843862255,2029-04-01
ETC,28940001,175916204.16138092,127996897.0063228,81.92327282858822,18.77604249177234,2029-05-01
ETC,29120001,176247980.16104618,128161382.17952313,82.0777792077369,18.800171050147654,2029-06-01
ETC,29290001,176561324.16073003,128316923.36974338,82.2237018991551,18.822987603244655,2029-07-01
ETC,29470001,176893100.1603953,128481819.79972564,82.37820827830377,18.847176489448167,2029-08-01
ETC,29650001,177224876.16006055,128646928.13342199,82.53271465745246,18.871396460101636,2029-09-01
ETC,29820001,177538220.1597444,128803058.59940031,82.67863734887065,18.894299454877554,2029-10-01
ETC,30000001,177869995.42212966,128968579.74794464,82.83314338467181,18.918579981914093,2029-11-01
ETC,30180001,178135416.220789,129134313.60301082,82.95674848749113,18.942891711165576,2029-12-01
ETC,30350001,178386091.4195228,129291035.57724752,83.0734866401538,18.965881475108972,2030-01-01
ETC,30530001,178651512.21818212,129457183.81113233,83.19709174297311,18.990253990164554,2030-02-01
ETC,30690001,178887441.8169904,129605050.36656643,83.30696294547916,19.011944740431773,2030-03-01
ETC,30870001,179152862.61564973,129771602.13192874,83.43056804829847,19.03637645007992,2030-04-01
ETC,31050001,179418283.41430905,129938367.92822951,83.55417315111777,19.06083955622352,2030-05-01
ETC,31220001,179668958.61304286,130096065.7312582,83.67091130378044,19.083972465846944,2030-06-01
ETC,31400001,179934379.4117022,130263248.48650369,83.79451640659977,19.10849673627692,2030-07-01
ETC,31580001,180199800.2103615,130430646.08355647,83.91812150941907,19.133052522149825,2030-08-01
ETC,31750001,180450475.40909532,130588941.33278069,84.03485966208176,19.156273071984977,2030-09-01
ETC,31930001,180715896.20775464,130756757.46845056,84.15846476490105,19.180890253868586,2030-10-01
ETC,32110001,180981317.00641397,130924789.25986487,84.28206986772035,19.205539070592696,2030-11-01
ETC,32280001,181231992.20514777,131083684.21874028,84.39880802038304,19.228847592669023,2030-12-01
ETC,32460001,181497413.0038071,131252136.13442577,84.52241312320234,19.25355803800564,2031-01-01
ETC,32640001,181762833.80246642,131420804.52287938,84.64601822602165,19.27830023803309,2031-02-01
ETC,32800001,181998763.4012747,131570913.93438564,84.7558894285277,19.300319995970796,2031-03-01
ETC,32980001,182264184.19993404,131739991.97512811,84.879494531347,19.325122288461134,2031-04-01
ETC,33150001,182514859.39866784,131899876.29287621,84.99623268400968,19.3485759409638,2031-05-01
ETC,33330001,182780280.19732717,132069377.07379113,85.119837786829,19.373440245796832,2031-06-01
ETC,33500001,183030955.39606097,132229661.14495488,85.23657593949167,19.396952538682932,2031-07-01
ETC,33680001,183296376.1947203,132399585.7230071,85.36018104231098,19.4218790109063,2031-08-01
ETC,33860001,183561796.99337962,132569728.66630305,85.48378614513028,19.446837515430374,2031-09-01
ETC,34030001,183812472.19211343,132730619.98187147,85.60052429779297,19.4704388858411,2031-10-01
ETC,34210001,184077892.99077275,132901188.32788159,85.72412940061227,19.49545979327981,2031-11-01
ETC,34380001,184328568.18950656,133062481.91462825,85.84086755327495,19.51912017340806,2031-12-01
ETC,34560001,184593988.9881659,133233476.72697274,85.96447265609426,19.544203639785326,2032-01-01
ETC,34740001,184859409.7868252,133404691.2798896,86.08807775891356,19.56931934021217,2032-02-01
ETC,34900001,185095339.3856335,133557066.69543277,86.19794896141961,19.591671501427445,2032-03-01
ETC,35080001,185337166.63601854,133728697.08461757,86.31056666997651,19.616848201453653,2032-04-01
ETC,35260001,185549503.27816465,133900548.03113544,86.40945075373087,19.642057255341193,2032-05-01
ETC,35430001,185750043.44019154,134063054.47619478,86.50284127727664,19.66589555133887,2032-06-01
ETC,35610001,185962380.08233765,134235335.09589097,86.60172536103099,19.69116763458136,2032-07-01
ETC,35790001,186174716.72448376,134407837.1085139,86.70060944478534,19.71647219425959,2032-08-01
ETC,35960001,186375256.88651064,134570959.21755585,86.79399996833112,19.740400802861473,2032-09-01
ETC,36140001,186587593.52865675,134743892.53119487,86.89288405208548,19.765768630684427,2032-10-01
ETC,36320001,186799930.17080286,134917048.07651785,86.99176813583985,19.79116905798158,2032-11-01
ETC,36490001,187000470.33282974,135080788.1820159,87.08515865938563,19.81518832134143,2032-12-01
ETC,36670001,187212806.97497585,135254376.66235766,87.18404274313997,19.840652256477437,2033-01-01
ETC,36850001,187425143.61712196,135428188.21632415,87.28292682689433,19.8661489145931,2033-02-01
ETC,37010001,187613887.29902962,135582874.87882295,87.37082379023153,19.88884011583249,2033-03-01
ETC,37190001,187826223.94117573,135757108.57650736,87.46970787398588,19.914398698796106,2033-04-01
ETC,37360001,188026764.1032026,135921868.2091666,87.56309839753168,19.938567518010412,2033-05-01
ETC,37540001,188239100.74534872,136096537.53754205,87.66198248128602,19.964190004244784,2033-06-01
ETC,37710001,188439640.9073756,136261709.11320215,87.7553730048318,19.988419251949704,2033-07-01
ETC,37890001,188651977.5495217,136436815.16146168,87.85425708858615,20.014105801230073,2033-08-01
ETC,38070001,188864314.19166782,136612146.23352408,87.95314117234051,20.039825359564436,2033-09-01
ETC,38240001,189064854.3536947,136777943.57015103,88.04653169588629,20.064146401014188,2033-10-01
ETC,38420001,189277190.99584082,136953713.01663354,88.14541577964064,20.089930265100737,2033-11-01
ETC,38590001,189477731.1578677,137119924.89079863,88.23880630318642,20.114312115637368,2033-12-01
ETC,38770001,189690067.8000138,137296133.80775285,88.33769038694076,20.14016044625743,2034-01-01
ETC,38950001,189902404.44215992,137472569.16577676,88.43657447069513,20.166041993832327,2034-02-01
ETC,39110001,190091148.12406757,137629590.92904085,88.52447143403234,20.189075734244284,2034-03-01
ETC,39290001,190303484.7662137,137806454.80332807,88.62335551778668,20.215020141464656,2034-04-01
ETC,39460001,190504024.92824057,137973701.59511203,88.71674604133246,20.239553805503345,2034-05-01
ETC,39640001,190716361.57038668,138151007.6762345,88.81563012508681,20.265563080658204,2034-06-01
ETC,39810001,190916901.73241356,138318672.62958184,88.90902064863259,20.29015808539707,2034-07-01
ETC,39990001,191129238.37455967,138496422.02317303,89.00790473238696,20.316232390673317,2034-08-01
ETC,40170001,191301466.5114279,138674399.83745566,89.08811049121786,20.342340203297855,2034-09-01
ETC,40340001,191461898.64003614,138842699.99805808,89.1628229095826,20.367028387470686,2034-10-01
ETC,40520001,191631767.95268014,139021122.8043212,89.24193017608644,20.393201476586526,2034-11-01
ETC,40690001,191792200.08128837,139189843.76018986,89.3166425944512,20.41795138780106,2034-12-01
ETC,40870001,191962069.39393237,139368712.6710324,89.39574986095505,20.444189916616885,2035-01-01
ETC,41050001,192131938.70657638,139547811.44122648,89.47485712745889,20.470462163820052,2035-02-01
ETC,41210001,192282933.65114883,139707203.55519596,89.54517469768454,20.493843614267217,2035-03-01
ETC,41390001,192452802.96379283,139886737.31040168,89.62428196418838,20.520179670025534,2035-04-01
ETC,41560001,192613235.09240106,140056508.8066768,89.69899438255312,20.545083686470527,2035-05-01
ETC,41740001,192783104.40504506,140236491.44413015,89.77810164905698,20.571485589388832,2035-06-01
ETC,41910001,192943536.5336533,140406687.41440266,89.85281406742172,20.596451872513708,2035-07-01
ETC,42090001,193113405.8462973,140587120.05642712,89.93192133392557,20.62291978722719,2035-08-01
ETC,42270001,193283275.1589413,140767784.56731126,90.01102860042941,20.649421715105554,2035-09-01
ETC,42440001,193443707.28754953,140938625.33372554,90.08574101879415,20.67448258427149,2035-10-01
ETC,42620001,193613576.60019353,141119741.55404758,90.164848285298,20.70105077403431,2035-11-01
ETC,42800001,193783445.91283754,141301090.5216751,90.24395555180185,20.72765310582244,2035-12-01
ETC,42970001,193943878.04144576,141472578.5270737,90.3186679701666,20.752808919373408,2036-01-01
ETC,43150001,194113747.35408977,141654380.91546357,90.39777523667044,20.77947776408255,2036-02-01
ETC,43320001,194274179.482698,141826297.68659058,90.47248765503518,20.80469647387338,2036-03-01
ETC,43500001,194444048.795342,142008554.62941775,90.55159492153903,20.831431997803886,2036-04-01
ETC,43670001,194604480.92395023,142180901.2383018,90.62630733990378,20.85671376109195,2036-05-01
ETC,43850001,194774350.23659423,142363613.8720685,90.70541460640763,20.88351613095891,2036-06-01
ETC,44020001,194934782.36520246,142536391.39341867,90.78012702477237,20.908861105394767,2036-07-01
ETC,44200001,195104651.67784646,142719560.85747752,90.85923429127621,20.9357304883314,2036-08-01
ETC,44380001,195274520.99049047,142902965.70740652,90.93834155778006,20.962634400348065,2036-09-01
ETC,44550001,195434953.1190987,143076397.80523616,91.0130539761448,20.988075395516297,2036-10-01
ETC,44730001,195604822.4317427,143260261.21618277,91.09216124264866,21.01504657448515,2036-11-01
ETC,44900001,195765254.56035092,143434126.94049042,91.1668736610134,21.04055117892335,2036-12-01
ETC,45080001,195920024.00105032,143618450.05897674,91.23894899470076,21.067589793029317,2037-01-01
ETC,45260001,196055919.45116553,143803010.04586205,91.30223480790384,21.094663153689524,2037-02-01
ETC,45420001,196176715.4068235,143967262.46608725,91.35848886408435,21.118757569207837,2037-03-01
