coin,total_supply,distributed_supply,total_supply_pct,distributed_supply_pct,date
NANO,133248290,128717848.14,100.0,96.6,2126-01-01
NANO,133248290,128717848.14,100.0,96.6,2127-01-01
NANO,133248290,128717848.14,100.0,96.6,2128-01-01
NANO,133248290,128717848.14,100.0,96.6,2129-01-01
NANO,133248290,128717848.14,100.0,96.6,2130-01-01
NANO,133248290,128717848.14,100.0,96.6,2131-01-01
NANO,133248290,128717848.14,100.0,96.6,2132-01-01
NANO,133248290,128717848.14,100.0,96.6,2133-01-01
NANO,133248290,128717848.14,100.0,96.6,2134-01-01
NANO,133248290,128717848.14,100.0,96.6,2135-01-01
NANO,133248290,128717848.14,100.0,96.6,2136-01-01
NANO,133248290,128717848.14,100.0,96.6,2137-01-01
NANO,133248290,128717848.14,100.0,96.6,2138-01-01
NANO,133248290,128717848.14,100.0,96.6,2139-01-01
