date,BTC,BTS,DASH,DOGE,EOS,ETC,ETH,GAS,IOTA,LTC,NANO,NEO,TRX,XEM,XLM,XMR,XRP,ZEC
2021-01-01,87.52574406066141,82.80041348235508,51.44454481158787,20.979473691066424,93.51923076923019,60.468615248322436,16.56979934917542,33.554585,100.0,78.88700117708994,100.0,80.0,45.373062597617086,100.0,13.472994864718347,32.92488439175737,57.23045477772099,50.837057640092
2022-01-01,89.09002977518021,84.81589694053973,54.758102751155526,21.82997984012394,94.51923076923029,63.98926841675103,16.819931781513613,40.350868,100.0,82.01200117755559,100.0,80.0,46.71632824702228,100.0,15.988019948064148,33.5078633473439,63.77107818088912,57.12440446601259
2023-01-01,90.65431548969902,86.59520195035877,57.84606911377296,22.68048598918145,95.5192307692304,67.31544673956104,17.075058344938462,45.993551000000004,100.0,85.13700117802125,100.0,80.0,48.05959389642751,100.0,18.528319011435133,34.09079148007723,70.31170158405723,63.411751291933186
2024-01-01,92.21860120421783,88.1943347607214,60.72375097753582,23.530992138238965,96.53846153846122,70.1319692743039,17.332818006725688,50.482634,100.0,87.88100059576271,100.0,95.0,49.40886699506978,100.0,21.14374073508236,34.67371961281056,74.39959121103729,69.69909811785378
2025-01-01,93.76858632349642,89.57774755965177,63.40516695254394,24.38149828729648,97.5384615384613,72.96190382111698,17.595724084465157,53.636233999999995,100.0,89.44778141791402,100.0,95.0,50.75213264447499,100.0,23.735850647199698,35.25824480892124,77.66990291262134,75.44107294245653
2026-01-01,94.55072918075581,90.79904923483481,65.89530791662982,25.232004436354,98.5384615384614,75.25803974567047,17.86134355101689,55.39491700000001,100.0,91.01028141814682,100.0,95.0,52.09539829388021,100.0,26.35400917989572,35.84117294165457,80.94021461420542,78.58474635541683
2027-01-01,95.33287203801521,91.87723629726341,68.21646185213882,26.082510585411505,99.53846153846149,77.51125776763568,18.1309727247384,56.971717000000005,100.0,92.57278141837965,100.0,100.0,53.438663943285405,100.0,28.99847810086431,36.4241010743879,84.21052631578947,81.72841976837712
2028-01-01,96.11501489527464,92.82907920815944,70.38004275394259,26.933016734469017,100.0,79.51984026405322,18.404672134895122,58.548517000000004,100.0,93.94264071629117,100.0,100.0,54.781929592690624,100.0,31.66952180835425,37.00702920712123,86.79952307954352,84.87209318133742
2029-01-01,96.88715031205635,93.68453862671059,72.40219015041332,27.792027945017107,100.0,81.33099837518496,18.683836213188304,60.133201,100.0,94.7260311273668,100.0,100.0,56.1312026913329,100.0,33.68989269288934,37.59155440323191,88.43467893033554,87.73641786050145
2030-01-01,97.27822174068605,94.42459817706205,74.28153817354584,28.642534094074627,100.0,83.0734866401538,18.96588147510897,61.71000100000001,100.0,95.5072811274832,100.0,100.0,57.474468340738106,100.0,34.02844902801655,38.17448253596524,90.06983478112758,89.3082545669816
2031-01-01,97.66929316931576,95.07793604503479,76.03324916808359,29.49304024313213,100.0,84.52241312320234,19.25355803800564,63.286801,100.0,96.28853112759964,100.0,100.0,58.817733990143324,100.0,34.37040758211488,38.75741066869857,91.7049906319196,90.88009127346173
2032-01-01,98.06036459794548,95.65471445364321,77.66595197428155,30.34354639218965,100.0,85.96447265609426,19.544203639785326,64.863601,100.0,96.97239057107578,100.0,100.0,60.16099963954854,100.0,34.715802544749586,39.3403388014319,93.27201498892865,92.45192797994189
2033-01-01,98.44500373490754,96.16390479595283,79.19177111591962,31.194052541247164,100.0,87.18404274313997,19.84065225647744,66.44040100000001,100.0,97.36408577661359,100.0,100.0,61.50426528895376,100.0,35.064668449063696,39.924863997542595,94.08959291432464,93.876829361189
2034-01-01,98.64053944922242,96.61342717895424,80.60983649408597,32.04455869030468,100.0,88.33769038694076,20.14016044625743,68.017201,100.0,97.75471077667179,100.0,100.0,62.847530938358965,100.0,35.41704017523042,40.507792130275924,94.90717083972065,94.66274771442907
2035-01-01,98.83607516353723,97.01743098250843,81.9315130840327,32.895064839362185,100.0,89.39574986095505,20.444189916616885,69.594001,100.0,98.14533577673001,100.0,100.0,64.19680403700123,100.0,35.77983236797033,41.090720263009246,95.72474876511669,95.44866606766917
2036-01-01,99.03161087785207,97.36693543206492,83.1633297746317,33.7455709884197,100.0,90.31866797016659,20.752808919373408,71.170801,100.0,98.48673039572829,100.0,100.0,65.54006968640645,100.0,36.139390916535326,41.67364839574258,96.5423266905127,96.23458442090923
2037-01-01,99.22321616061876,97.67548423980855,84.31439940792562,34.59607713747722,100.0,91.23894899470078,21.06758979302932,72.755485,100.0,98.68257799849718,100.0,100.0,66.88333533581167,100.0,36.502562739430864,42.25817359185326,97.0533128938852,96.94929902001465
2038-01-01,99.32098401777617,97.94787667109465,85.38416671169955,35.446583286534725,100.0,91.98079936058129,21.387145297377135,74.332285,100.0,98.87789049852628,100.0,100.0,68.22660098521689,100.0,36.869384147158904,42.841101724586586,97.46210185658319,97.34225819663469
2039-01-01,99.41875187493359,98.1883496036092,86.38116150376406,36.29708943559224,100.0,92.71913384795052,21.70999885529966,75.909085,100.0,99.07320299855542,100.0,100.0,68.53898834554373,100.0,37.23989181511279,43.424029857319915,97.8708908192812,97.73521737325471
2040-01-01,99.51651973209104,98.40064342909876,87.31033098711002,37.14759558464976,100.0,93.35972676435436,22.037726108074693,77.485885,100.0,99.24363275668463,100.0,100.0,68.85137570587058,100.0,37.61412278724407,44.00695799005325,98.27967978197924,98.12817654987477
2041-01-01,99.61196523061714,98.5914404087646,88.17850941205351,38.00660679519785,100.0,93.9532070453451,22.371996746070668,79.062685,100.0,99.34155655806907,100.0,100.0,69.16977051543451,100.0,37.99942065562769,44.59148318616394,98.60330437744848,98.4847010077853
2042-01-01,99.66084915919586,98.75649923437096,88.98535679874462,38.85711294425536,100.0,94.51012208302843,22.709717308910875,80.639485,100.0,99.43921280808362,100.0,100.0,69.48215787576135,100.0,38.381284281950286,45.174411318897256,98.8076988587975,98.68118059609532
2043-01-01,99.70973308777458,98.90221613128892,89.73727803023634,39.70761909331287,100.0,94.98265616310549,23.05253599418748,82.216285,100.0,99.53686905809818,100.0,100.0,69.7945452360882,100.0,38.76698533070178,45.75733945163059,99.01209334014648,98.87766018440531
2044-01-01,99.75861701635328,99.03085762603723,90.438009914193,40.558125242370394,100.0,95.4574404054686,23.402199379439143,83.79308499999999,100.0,99.62195016147786,100.0,100.0,70.10693259641505,100.0,39.156562364892295,46.34026758436392,99.21648782149548,99.07413977271536
2045-01-01,99.80616119418778,99.14442464895016,91.09268802205601,41.408631391427896,100.0,95.84401819090915,23.75547155428433,85.377769,100.0,99.67091206217009,100.0,100.0,70.4193199567419,100.0,39.55005433505925,46.924792780474604,99.4123658661216,99.25149438187876
2046-01-01,99.8306031584771,99.24649188953741,91.70010026870459,42.259137540485405,100.0,96.2238455789428,24.115797142932195,86.95456899999999,100.0,99.71974018717735,100.0,100.0,70.7377147663058,100.0,39.95518279481221,47.50772091320793,99.51456310679613,99.35022537500456
2047-01-01,99.85504512276646,99.33479045114842,92.26513307392766,43.109643689542935,100.0,96.56154986384306,24.479841563146344,88.531369,100.0,99.76856831218464,100.0,100.0,71.05010212663267,100.0,40.35670025821465,48.090649045941255,99.61676034747063,99.44846516915956
2048-01-01,99.87948708705582,99.41274200783138,92.79182349821647,43.96014983860044,100.0,96.86397168208728,24.849381482393287,90.10816899999999,100.0,99.81104197603196,100.0,100.0,71.36248948695952,100.0,40.76225264930707,48.67357717867459,99.71895758814512,99.54670496331457
2049-01-01,99.90316989025877,99.4815590426554,93.28409460428841,44.81065598765796,100.0,97.1583288599915,25.226299616378054,91.684969,100.0,99.83552292637808,100.0,100.0,71.67487684728636,100.0,41.1718805158687,49.25810237478528,99.82115482881964,99.63517405748571
2050-01-01,99.91539087240344,99.54231195745909,93.74160702627803,45.66116213671547,100.0,97.40026630875776,25.607107829499963,93.261769,100.0,99.85993698888173,100.0,100.0,71.98726420761321,100.0,41.58562481315135,49.8410305075186,99.8850281042412,99.68429395456323
2051-01-01,99.92761185454813,99.5959457222177,94.16805499370163,46.51166828577297,100.0,97.64220375752406,25.993664602551608,94.838569,100.0,99.88435105138537,100.0,100.0,72.29965156794006,100.0,42.003526907974205,50.42395864025194,99.93612672457844,99.73341385164072
2052-01-01,99.93983283669279,99.6441485387643,94.56553994757064,47.36217443483049,100.0,97.84750491796524,26.387939347955648,96.415369,100.0,99.9055544393878,100.0,100.0,72.61804637750397,100.0,42.43378735758715,51.006886772985276,99.9872253449157,99.78253374871824
2053-01-01,99.95162959543713,99.68584888592936,94.93701326990605,48.21268058388801,100.0,98.04105487697828,26.78628330580277,98.00005300000001,100.0,99.91779491456086,100.0,100.0,72.93043373783081,100.0,42.860212804064865,51.59141196909594,99.9872253449157,99.82690979008396
2054-01-01,99.95774008650943,99.72266270165217,95.28225279942585,49.063186732945525,100.0,98.21985813086201,27.1925805783193,99.576853,100.0,99.93000194581268,100.0,100.0,73.24282109815769,100.0,43.29092348343664,52.17434010182929,99.9872253449157,99.85146973862268
2055-01-01,99.96385057758178,99.7551625996197,95.60403306572971,49.91369288200303,100.0,98.37469808641424,27.603071144818312,100.0,100.0,99.94220897706451,100.0,100.0,73.55520845848453,100.0,43.7259624588477,52.757268234562616,99.9872253449157,99.87602968716145
2056-01-01,99.96996106865411,99.78385409348301,95.90394096316143,50.76419903106054,100.0,98.52880067962906,28.019758346634273,100.0,100.0,99.95279394910509,100.0,100.0,73.86759581881138,100.0,44.16537322619344,53.34019636729593,99.9872253449157,99.9005896357002
2057-01-01,99.97583712659771,99.80964029031936,96.18419921847837,51.62321024160863,100.0,98.65326252228188,28.44476510336977,100.0,100.0,99.95891418669164,100.0,100.0,74.18599062837531,100.0,44.61777841072136,53.92472156340662,99.9872253449157,99.92272560378042
2058-01-01,99.97889237213388,99.83194797765341,96.44466073714752,52.47371639066615,100.0,98.77713449838187,28.874158250057956,100.0,100.0,99.96501770231754,100.0,100.0,74.49837798870216,100.0,45.066151211369686,54.507649696139964,99.9872253449157,99.93500557804977
2059-01-01,99.98194761767006,99.85164160484234,96.68741054316368,53.32422253972366,100.0,98.88496208064946,29.310033379418716,100.0,100.0,99.97112121794343,100.0,100.0,74.810765349029,100.0,45.519029798175936,55.09057782887329,99.9872253449157,99.94728555231916
2060-01-01,99.98500286320622,99.86902749276742,96.91364776266695,54.17472868878117,100.0,98.9845315547717,29.754611168858307,100.0,100.0,99.97640534298344,100.0,100.0,75.12315270935584,100.0,45.9764594506684,55.673505961606615,99.9872253449157,99.95956552658852
2061-01-01,99.98792973146372,99.88437606700634,97.12504186523294,55.02523483783869,100.0,99.07824953223171,30.203777336058,100.0,100.0,99.97946546177671,100.0,100.0,75.4355400696827,100.0,46.43848590339818,56.258031157717284,99.9872253449157,99.97057678439164
